time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-19T03:44:39.690Z,35.6621667,-117.5341667,7.92,1.76,ml,31,47,0.04912,0.14,ci,ci38906599,2019-10-19T03:55:46.400Z,"14km ENE of Ridgecrest, CA",earthquake,0.22,0.6,0.121,26,automatic,ci,ci
2019-10-19T03:39:12.000Z,36.1698341,-117.8799973,3.34,1.61,ml,15,149,0.05598,0.13,ci,ci38906591,2019-10-19T03:42:38.361Z,"15km NNE of Coso Junction, CA",earthquake,0.47,1,0.337,4,automatic,ci,ci
2019-10-19T03:38:59.451Z,35.71304703,-98.85028076,0.5909709334,2.63,ml,34,83.41061401,0.1476488709,0.9537879938,ok,ok2019ulyq,2019-10-19T03:49:47.040Z,"12km WSW of Thomas, Oklahoma",earthquake,2.209014107,1.729387208,,25,automatic,ok,ok
2019-10-19T03:38:54.802Z,63.561,-147.2844,15.4,1.6,ml,,,,0.68,ak,ak019deyxwg2,2019-10-19T03:45:47.481Z,"85km ENE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T03:19:50.110Z,35.9125,-117.6903333,2.8,0.92,ml,17,62,0.04795,0.09,ci,ci38906575,2019-10-19T03:23:35.235Z,"20km E of Little Lake, CA",earthquake,0.18,0.29,0.118,14,automatic,ci,ci
2019-10-19T03:18:56.620Z,35.679,-117.5365,6.4,0.75,ml,19,109,0.06273,0.16,ci,ci38906567,2019-10-19T03:22:39.709Z,"14km ENE of Ridgecrest, CA",earthquake,0.34,0.8,0.105,10,automatic,ci,ci
2019-10-19T03:12:50.766Z,63.5068,-150.6575,0,1.6,ml,,,,0.72,ak,ak019deysbgw,2019-10-19T03:25:43.048Z,"86km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T03:09:51.058Z,66.3313,-157.209,0,1.6,ml,,,,0.59,ak,ak019deyrodp,2019-10-19T03:16:50.179Z,"65km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T03:07:04.119Z,66.1737,-157.159,4.8,1.6,ml,,,,0.92,ak,ak019deyr5cr,2019-10-19T03:20:01.662Z,"82km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-19T03:02:22.997Z,66.2933,-157.2326,0,1.8,ml,,,,0.5,ak,ak019deyq47m,2019-10-19T03:13:27.669Z,"70km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T02:57:21.420Z,35.6505,-117.4555,1.5,1.17,ml,22,53,0.02973,0.22,ci,ci38906559,2019-10-19T03:01:07.319Z,"14km SSW of Searles Valley, CA",earthquake,0.29,0.49,0.179,15,automatic,ci,ci
